subject,roi,metric,mean,median,std,n
100408,CC,FA,0.7601423859596252,0.7594442367553711,0.09440203756093979,729
100408,CC,MD,0.00042429109453223646,0.0004740272997878492,0.000169916485901922,729
100408,CC,MK,1.0883400440216064,1.1470355987548828,0.6574962735176086,729
100408,CC,alpha_persistence,2.244825601577759,2.2847979068756104,0.34039780497550964,729
100610,WM,FA,0.5577348470687866,0.5343955159187317,0.12002763897180557,24976
100610,WM,MD,0.0004959412035532296,0.0005276865558698773,0.0001472130388719961,24976
100610,WM,MK,1.0714781284332275,1.0390357971191406,0.4446638226509094,24976
100610,WM,alpha_persistence,2.0934741497039795,2.1320314407348633,0.26926496624946594,24976
100610,GM,FA,0.17183780670166016,0.15298929810523987,0.09225644916296005,81745
100610,GM,MD,0.0006778049282729626,0.0006464623147621751,0.0002460477116983384,81745
100610,GM,MK,0.7332019805908203,0.694740355014801,0.36628368496894836,81745
100610,GM,alpha_persistence,1.7689764499664307,1.7717647552490234,0.24410724639892578,81745
100610,CSF,FA,0.06695001572370529,0.0628608986735344,0.026032762601971626,2668
100610,CSF,MD,0.0015572569100186229,0.0015470930375158787,0.0003210440627299249,2668
100610,CSF,MK,0.45145395398139954,0.4382238984107971,0.07326149940490723,2668
100610,CSF,alpha_persistence,1.6015723943710327,1.584582805633545,0.184841588139534,2668
100610,CC,FA,0.7404870390892029,0.7201178073883057,0.10444722324609756,824
100610,CC,MD,0.00041369785321876407,0.0004800139577127993,0.00018870169878937304,824
100610,CC,MK,1.0526050329208374,1.1339170932769775,0.6147250533103943,824
100610,CC,alpha_persistence,2.2082407474517822,2.283618927001953,0.39772748947143555,824
101006,WM,FA,0.5514427423477173,0.5201306343078613,0.12532229721546173,19643
101006,WM,MD,0.0004885216476395726,0.0005200179293751717,0.00015179731417447329,19643
101006,WM,MK,1.076274037361145,1.0374219417572021,0.47018930315971375,19643
101006,WM,alpha_persistence,2.1770434379577637,2.2070634365081787,0.25998765230178833,19643
101006,GM,FA,0.1752466857433319,0.1574118584394455,0.0947769433259964,65375
101006,GM,MD,0.0006723011028952897,0.0006367445457726717,0.00024849383044056594,65375
101006,GM,MK,0.7519534230232239,0.7073759436607361,0.35386165976524353,65375
101006,GM,alpha_persistence,1.8769457340240479,1.883157730102539,0.21871177852153778,65375
101006,CSF,FA,0.05706866830587387,0.053272850811481476,0.024329254403710365,2676
101006,CSF,MD,0.0016205788124352694,0.0016310348873957992,0.0002846776624210179,2676
101006,CSF,MK,0.4249497354030609,0.4030866026878357,0.062404703348875046,2676
101006,CSF,alpha_persistence,1.7213932275772095,1.7164156436920166,0.139480859041214,2676
101006,CC,FA,0.7404218316078186,0.7317647933959961,0.09247153997421265,846
101006,CC,MD,0.00044290139339864254,0.00048188804066739976,0.00015828409232199192,846
101006,CC,MK,1.0730195045471191,1.1503453254699707,0.561873733997345,846
101006,CC,alpha_persistence,2.3036720752716064,2.3309671878814697,0.3401469588279724,846
101107,WM,FA,0.567094624042511,0.542306125164032,0.12545014917850494,21572
101107,WM,MD,0.0004991788300685585,0.0005296625895425677,0.00014667095092590898,21572
101107,WM,MK,1.066034197807312,1.0342319011688232,0.4454174041748047,21572
101107,WM,alpha_persistence,2.1496005058288574,2.1819849014282227,0.260608047246933,21572
101107,GM,FA,0.17621858417987823,0.16047099232673645,0.08998552709817886,67775
101107,GM,MD,0.000658950477372855,0.0006534558488056064,0.00021730782464146614,67775
101107,GM,MK,0.7558059692382812,0.6930367946624756,0.35568034648895264,67775
101107,GM,alpha_persistence,1.832130789756775,1.8360321521759033,0.2192743420600891,67775
101107,CSF,FA,0.06385665386915207,0.0601964071393013,0.02483898401260376,2766
101107,CSF,MD,0.001439809799194336,0.0014138524420559406,0.0002628951333463192,2766
101107,CSF,MK,0.45211365818977356,0.4302394986152649,0.06699349731206894,2766
101107,CSF,alpha_persistence,1.7291871309280396,1.7182341814041138,0.148784801363945,2766
101107,CC,FA,0.7615710496902466,0.7641193270683289,0.09560584276914597,858
101107,CC,MD,0.00041822114144451916,0.000472025916678831,0.00017736467998474836,858
101107,CC,MK,1.1061272621154785,1.1682761907577515,0.6457045078277588,858
101107,CC,alpha_persistence,2.2607645988464355,2.2944133281707764,0.382535457611084,858
101309,WM,FA,0.573401153087616,0.5435842275619507,0.1320420503616333,24937
101309,WM,MD,0.0004743130994029343,0.0005056961090303957,0.00015133079432416707,24937
101309,WM,MK,1.0864219665527344,1.073378562927246,0.45910948514938354,24937
101309,WM,alpha_persistence,1.8391603231430054,1.777819275856018,0.4332101345062256,24937
101309,GM,FA,0.17991690337657928,0.16259796917438507,0.09100212901830673,70657
101309,GM,MD,0.0006186741520650685,0.0006244710530154407,0.00018910333164967597,70657
101309,GM,MK,0.7313827872276306,0.7166178226470947,0.3807757496833801,70657
101309,GM,alpha_persistence,1.5468002557754517,1.5029206275939941,0.3975728154182434,70657
101309,CSF,FA,0.084561787545681,0.08178539574146271,0.03089226968586445,3365
101309,CSF,MD,0.0010236179223284125,0.0009820762788876891,0.0002613741671666503,3365
101309,CSF,MK,0.5352190136909485,0.5481785535812378,0.09206978231668472,3365
101309,CSF,alpha_persistence,1.4571372270584106,1.406898021697998,0.431131511926651,3365
101309,CC,FA,0.7686280608177185,0.7724219560623169,0.09571275860071182,962
101309,CC,MD,0.0004313352983444929,0.0004849786637350917,0.00018492559320293367,962
101309,CC,MK,1.1386617422103882,1.1992683410644531,0.6095972657203674,962
101309,CC,alpha_persistence,2.040686845779419,2.0726027488708496,0.45946043729782104,962
101410,WM,FA,0.5630690455436707,0.5359047055244446,0.12740394473075867,23452
101410,WM,MD,0.0005136604886502028,0.0005424115224741399,0.00015443905431311578,23452
101410,WM,MK,1.0518709421157837,1.0180842876434326,0.4497745633125305,23452
101410,WM,alpha_persistence,2.183892250061035,2.214738368988037,0.25472551584243774,23452
101410,GM,FA,0.17052528262138367,0.1510917991399765,0.09130130708217621,82788
101410,GM,MD,0.0006963714258745313,0.0006718463846482337,0.00025201222160831094,82788
101410,GM,MK,0.7259806990623474,0.6774530410766602,0.3498523235321045,82788
101410,GM,alpha_persistence,1.858213186264038,1.86065673828125,0.21705791354179382,82788
101410,CSF,FA,0.0722227469086647,0.06851127743721008,0.028476638719439507,2720
101410,CSF,MD,0.0015425161691382527,0.0015411521308124065,0.000391377107007429,2720
