contrast,mean_diff,perm_p,n
WM vs GM,0.31899916330973305,9.999000099990002e-05,30
CSF vs GM,-0.11681243181228637,9.999000099990002e-05,30
CC vs WM,0.10028870503107706,9.999000099990002e-05,30
CSF vs CC,-0.5361003001530965,9.999000099990002e-05,30
CC vs GM,0.41928786834081017,9.999000099990002e-05,30
