roi,n_subjects,ICC_3_1,within_subject_CoV,pearson_r,mean_abs_diff,mean_split_A,mean_split_B
WM,30,0.9626443112282526,0.007418467955799912,0.9924957386830824,0.01965510845184326,2.09025456905365,2.1098647594451903
GM,30,0.9818497709550635,0.006871479869235742,0.9985458776470919,0.017538237571716308,1.8926316102345784,1.9101698478062947
CSF,30,0.9892206477207889,0.005939196958055847,0.9955837998817769,0.012762514750162761,1.8088758707046508,1.8207292715708414
CC,30,0.8341798975059231,0.01586798165810463,0.8937691109130456,0.03692498207092285,2.132257870833079,2.108461900552114
