label,metric,mean,std,count
01_Unclassified,FA,0.4197151849667231,0.04074788409689195,30
01_Unclassified,MD,0.0004933762820049499,2.9273618566621805e-05,30
01_Unclassified,MK,1.0702305098374685,0.0593909921645084,30
01_Unclassified,alpha_persistence,2.0291831493377686,0.15467824303742844,30
01_Unclassified,alpha_split_A,2.0620105346043904,0.15323291851991203,30
01_Unclassified,alpha_split_B,2.0889665246009828,0.1374899286075189,30
02_Middle_cerebellar_peduncle,FA,0.44584831992785134,0.04464942559584116,30
02_Middle_cerebellar_peduncle,MD,0.000471062763244845,2.0905051325569436e-05,30
02_Middle_cerebellar_peduncle,MK,1.1481566548347473,0.03537305988767988,30
02_Middle_cerebellar_peduncle,alpha_persistence,2.1144487698872885,0.1537553110577837,30
02_Middle_cerebellar_peduncle,alpha_split_A,2.2200745781262716,0.14214597259458836,30
02_Middle_cerebellar_peduncle,alpha_split_B,2.080906558036804,0.1099143515835038,30
03_Pontine_crossing_tract_(a_part_of_MCP),FA,0.5683420479297638,0.05716459889554709,30
03_Pontine_crossing_tract_(a_part_of_MCP),MD,0.000550949334865436,6.641867015158463e-05,30
03_Pontine_crossing_tract_(a_part_of_MCP),MK,1.0507285753885904,0.0726757412215698,30
03_Pontine_crossing_tract_(a_part_of_MCP),alpha_persistence,2.2951133569081623,0.11152217420859958,30
03_Pontine_crossing_tract_(a_part_of_MCP),alpha_split_A,2.1564473549524945,0.07862426509415345,30
03_Pontine_crossing_tract_(a_part_of_MCP),alpha_split_B,2.182596739133199,0.0718814424885542,30
04_Genu_of_corpus_callosum,FA,0.5666970809300741,0.04542086039332525,30
04_Genu_of_corpus_callosum,MD,0.0005752770171966404,5.120927891707629e-05,30
04_Genu_of_corpus_callosum,MK,0.9864325642585754,0.05463743328685654,30
04_Genu_of_corpus_callosum,alpha_persistence,2.3216870546340944,0.10975714944918581,30
04_Genu_of_corpus_callosum,alpha_split_A,2.211694554487864,0.08862867142008214,30
04_Genu_of_corpus_callosum,alpha_split_B,2.27287278175354,0.07855552150039702,30
05_Body_of_corpus_callosum,FA,0.6074545621871948,0.06344652910346316,30
05_Body_of_corpus_callosum,MD,0.0005727407716525098,5.4229723011923964e-05,30
05_Body_of_corpus_callosum,MK,0.959876932700475,0.0666938116692626,30
05_Body_of_corpus_callosum,alpha_persistence,2.3226019461949665,0.17751118711334712,30
05_Body_of_corpus_callosum,alpha_split_A,2.0820591330528258,0.10858835789802856,30
05_Body_of_corpus_callosum,alpha_split_B,2.227210326989492,0.14074775122002986,30
06_Splenium_of_corpus_callosum,FA,0.4614781439304352,0.07735183111788774,5
06_Splenium_of_corpus_callosum,MD,0.0006910303491167724,7.671192887082545e-05,5
06_Splenium_of_corpus_callosum,MK,0.7980418801307678,0.10382575952267714,5
06_Splenium_of_corpus_callosum,alpha_persistence,2.123089408874512,0.14324491283512494,5
06_Splenium_of_corpus_callosum,alpha_split_A,2.099611234664917,0.12662002886382437,5
06_Splenium_of_corpus_callosum,alpha_split_B,2.1849305629730225,0.24591478112782827,5
07_Fornix_(column_and_body_of_fornix),FA,0.4704852610826492,0.05102220232098848,30
07_Fornix_(column_and_body_of_fornix),MD,0.0004908946139039472,2.6365578132593542e-05,30
07_Fornix_(column_and_body_of_fornix),MK,1.0958596229553224,0.06673004731919444,30
07_Fornix_(column_and_body_of_fornix),alpha_persistence,2.1261545538902284,0.14363185859527663,30
07_Fornix_(column_and_body_of_fornix),alpha_split_A,2.2103684902191163,0.11253816150929755,30
07_Fornix_(column_and_body_of_fornix),alpha_split_B,2.120316735903422,0.10290152235507688,30
08_Corticospinal_tract_R,FA,0.46716682314872743,0.05205981028143041,30
08_Corticospinal_tract_R,MD,0.0004925335796239475,3.059039499999108e-05,30
08_Corticospinal_tract_R,MK,1.0841762999693552,0.06017348876286935,30
08_Corticospinal_tract_R,alpha_persistence,2.12255973815918,0.1505228487011928,30
08_Corticospinal_tract_R,alpha_split_A,2.2360775748888653,0.15891448694177127,30
08_Corticospinal_tract_R,alpha_split_B,2.189862898985545,0.12233787605779121,30
09_Corticospinal_tract_L,FA,0.43625830113887787,0.049471755610770024,4
09_Corticospinal_tract_L,MD,0.0005557949043577537,5.278244863425494e-05,4
09_Corticospinal_tract_L,MK,1.0062648355960846,0.07144896449894327,4
09_Corticospinal_tract_L,alpha_persistence,2.089784651994705,0.2804520778606258,4
09_Corticospinal_tract_L,alpha_split_A,2.3159071803092957,0.28478814983721223,4
09_Corticospinal_tract_L,alpha_split_B,2.188815951347351,0.14700899877709853,4
10_Medial_lemniscus_R,FA,0.46042346954345703,0.009146751210682733,2
10_Medial_lemniscus_R,MD,0.0005152016237843782,2.3604704708005592e-07,2
10_Medial_lemniscus_R,MK,1.0629464983940125,0.001251339932288444,2
10_Medial_lemniscus_R,alpha_persistence,2.208001494407654,0.004641042370625607,2
10_Medial_lemniscus_R,alpha_split_A,2.429825186729431,0.013481090964694565,2
10_Medial_lemniscus_R,alpha_split_B,2.2752928733825684,0.1300830447683876,2
11_Medial_lemniscus_L,FA,0.4202076594034831,0.072348392488948,18
11_Medial_lemniscus_L,MD,0.0005590453672791935,4.084034599323729e-05,18
11_Medial_lemniscus_L,MK,0.9870378441280789,0.07583190324094471,18
11_Medial_lemniscus_L,alpha_persistence,2.018844505151113,0.1705546125639263,18
11_Medial_lemniscus_L,alpha_split_A,2.0585301253530712,0.1468463355533738,18
11_Medial_lemniscus_L,alpha_split_B,2.0016707513067455,0.14716253667718507,18
12_Inferior_cerebellar_peduncle_R__,FA,0.4307178103405496,0.06977278284434114,23
12_Inferior_cerebellar_peduncle_R__,MD,0.000549941098459227,3.149466176007497e-05,23
12_Inferior_cerebellar_peduncle_R__,MK,0.9952644653942274,0.06264698295311469,23
12_Inferior_cerebellar_peduncle_R__,alpha_persistence,2.0622866568358047,0.20516135532365176,23
12_Inferior_cerebellar_peduncle_R__,alpha_split_A,2.1192223092784053,0.19899101569922473,23
12_Inferior_cerebellar_peduncle_R__,alpha_split_B,2.0973578121351157,0.18893521408478658,23
13_Inferior_cerebellar_peduncle_L,FA,0.4464342906361535,0.06175824812541651,21
13_Inferior_cerebellar_peduncle_L,MD,0.0007025211068269398,6.05131600936973e-05,21
13_Inferior_cerebellar_peduncle_L,MK,0.8707681411788577,0.06437742907956379,21
13_Inferior_cerebellar_peduncle_L,alpha_persistence,2.1049098003478277,0.10469851347885878,21
13_Inferior_cerebellar_peduncle_L,alpha_split_A,2.1541595458984375,0.08751819866492926,21
13_Inferior_cerebellar_peduncle_L,alpha_split_B,2.173860572633289,0.09599162291392656,21
14_Superior_cerebellar_peduncle_R,FA,0.4739372862709893,0.06067050100302403,18
14_Superior_cerebellar_peduncle_R,MD,0.0006821929127909243,6.867902445234995e-05,18
14_Superior_cerebellar_peduncle_R,MK,0.9014377593994141,0.06739962346804358,18
14_Superior_cerebellar_peduncle_R,alpha_persistence,2.1306749847200184,0.1889063671040198,18
14_Superior_cerebellar_peduncle_R,alpha_split_A,2.204524146185981,0.19616730494048748,18
14_Superior_cerebellar_peduncle_R,alpha_split_B,2.2133796413739524,0.14395430577496315,18
15_Superior_cerebellar_peduncle_L,FA,0.5604705492655436,0.049256436304765054,30
15_Superior_cerebellar_peduncle_L,MD,0.0005165486635329823,4.001688472723597e-05,30
15_Superior_cerebellar_peduncle_L,MK,1.0473616520563762,0.08892216703171428,30
15_Superior_cerebellar_peduncle_L,alpha_persistence,2.2009303092956545,0.12913316612363385,30
15_Superior_cerebellar_peduncle_L,alpha_split_A,2.280602443218231,0.128232914448788,30
15_Superior_cerebellar_peduncle_L,alpha_split_B,2.2038626710573834,0.09960355742684733,30
16_Cerebral_peduncle_R,FA,0.5664537787437439,0.04503760547824789,30
16_Cerebral_peduncle_R,MD,0.0005266931703469406,2.90665048049975e-05,30
16_Cerebral_peduncle_R,MK,1.0927603383859,0.05594356854375766,30
16_Cerebral_peduncle_R,alpha_persistence,2.215730317433675,0.12106911073425611,30
16_Cerebral_peduncle_R,alpha_split_A,2.299293808142344,0.16249014822603874,30
